STT,Ten_quan,Dia_chi,Gio_mo_cua,Phong_cach,Gia,Thoi_diem,Huong_di,Doi_tac,MÓN ĂN NỔI BẬT,Link_drive
1,Cà Phê Capulus,90 Tô Ngọc Vân,07:00–16:00,Hiện đại,~35k - 40k,View Check In,Trung Tâm,,Cà phê sữa,Cà Phê Capulus
2,Cà Phê Linh Lam,14/1 Khởi Nghĩa Bắc Sơn,07:00–17:00,Vintage,~25k - 50k,View Check In,Trung Tâm,,Matcha -cà phê-Latte,Cà Phê Linh Lam
3,Cà Phê Đợi Một Người,24 Yersin,07:30–22:00,Hiện đại,~55k - 99k,View Check In,Trung Tâm,,Matcha -cà phê-trà sữa,Cà Phê Đợi Một Người
4,Cà Phê Đi,02 Khởi Nghĩa Bắc Sơn,07:30–15:00,Vintage,~25k,View Check In,Trung Tâm,,Matcha -cà phê,Cà phê đi 
5,Đậm Cà Phê,138 Yersin,07:00–22:00,Hiện đại,~60k - 65k,View Check In,Trung Tâm,,Matcha -cà phê robusta,Đậm Cà Phê
6,Gạt tàn đời ,19 Đặng Thái Thân,07:00–21:00,Vintage,~30k - 55k ,View Check In,Trung Tâm,,Cà phê- trà trái cây,Gạt Tàn Đời
7,Gấp Gáp Cà Phê,17/4 Bà Triệu,08:00–20:00,Hiện đại,~55k,View Check In,Trung Tâm,,Matcha -cà phê-nước ép,Gấp gáp 
8,La Lapine Cà Phê,86 Ba Tháng Hai,06:30–22:00,Châu Âu,~45k ,View Check In,Trung Tâm,,Sữa gạo-bánh ngọt,La Lapine Cà Phê
9,Quyền Cà Phê,Đường Cô Giang,06:30–11:00,Hiện đại,~25k - 40k,View Check In,Trung Tâm,,Cà phê,Quyền Cà Phê
10,Nhà Nhãn Cà Phê,51/4 Quang Trung,07:00–11:00,Vintage,~25k - 45k,View Check In,Trung Tâm,,Cà phê-trà trái cây-kombucha,Nhà Nhãn 
11,Cà Phê Ngủ Ngày,82 Nguyễn Thị Nghĩa,07:00–21:00,Vintage,~45k - 60k,View Check In,Trung Tâm,,Cà phê-Cold brew,Cà Phê Ngủ Ngày
12,Hai Người Coffee,6A Cô Giang,07:00–17:30,Vintage,~35k - 65k,View Check In,Trung Tâm,,Matcha -cà phê,Hai Người Coffee
13,Bản Cà Phê,"Hẻm 29 3/4, Phường 3, Đà Lạt",06:30–23:30,Vintage,~35k - 55k,View Check In,Trung Tâm,,Matcha -cà phê,Bản cà phê
14,Chip Corner,16/3 Hẻm 1 - Khởi Nghĩa Bắc Sơn,08:00–19:00,Vintage,~50k - 65k,View Check In,Trung Tâm,,Matcha,Chip Corner
15,1/2 Cricle Coffee,04 Đặng Thái Thân,07:30–18:00,Vintage,~75k - 95k,View Check In,Trung Tâm,,Cà phê Robusta,1/2 Cricle Coffee
16,A Dopo Cà Phê,32/2 3 Tháng 4,07:30–22:00,Hiện đại,~65K - 70K,View Check In,Trung Tâm,,Cà phê - Kombucha,A Dopo Cà Phê
17,W.A.I? cà phê,72 Trần Thái Tông,07:30–18:00,Hiện đại,~50k - 65k,View Check In,Trung Tâm,,Trà trái cây-Latte,W.A.I? cà phê
18,Matcha 3 Con Mèo,05 Yagout,7:30-22:00,Hiện đại,~35k - 90k,View Check In,Trung Tâm,,Matcha-cà phê,3 con mèo 
19,Ngày Bình Thường Cà Phê,84/6 Trần Quang Khải,07:30–19:30,Hiện đại,~45k - 70k,View Check In,Trung Tâm,,Matcha-cà phê-kombucha,Ngày Bình Thường 
20,Lài cà phê,Hẻm 12 Phù Đổng Thiên Vương,07:30–21:30,Vintage,~22k - 45k,View Check In,Trung Tâm,,Trà sữa-cà phê,Lài cà phê 
21,Cái Cốc Mẻ,15 Ngô Huy Diễn,07:01–13:00,Vintage,~45k - 70k,View Check In,Trung Tâm,,Cà phê vỏ chanh mặn,cái cốc mẻ 
22,Đương Cà Phê,152 Phạm Ngọc Thạch,08:00–20:00,Vintage,~45k - 65k,View Check In,Trung Tâm,,Cà phê sữa-Kombucha,Đương Cà Phê
