STT,Ten_quan,Dia_chi,Gia,Thoi_diem,Link_drive
1,Biệt Thự Đống Đa,Đường Đống Đa,Free,Cả ngày,Biệt thự Đống Đa
2,Cung đường Bắc Âu,Đường Nguyễn Hữu Cảnh,Free,Cả ngày,Cung đường Bắc Âu
3,Dốc Nhà Bò,Đường Đào Duy Từ,Free,Cả ngày,Dốc nhà bò
4,Dốc Lê Đại Hành,Đường Lê Đại Thành,Free,Cả ngày,Dốc Lê Đại Hành
5,Tháp Truyền Hình,14B Đống Đa,Free,Cả ngày,Tháp Truyền Hình
6,Tháp Vinaphone,Đường Nhà Chung,Free,Tối,Tháp Vinaphone
7,Dốc Sương Nguyệt Ánh, Dốc Sương Nguyệt Anh,Free,Chiều,Dốc Sương Nguyệt Ánh
8,Hồ Xuân Hương,Đường Trần Quốc Toản,Free,Cả ngày,Hồ Xuân Hương
9,Hồ Tuyền Lâm,"P. Xuân Hương, Tp. Đà Lạt",Free,Cả ngày,Hồ Tuyền Lâm
10,Chợ Đà Lạt,01 Nguyễn Thị Minh Khai,Free,Cả ngày,Chợ Đà Lạt
11,Suối Tía,Hồ Tuyền lâm,Free,Sáng,Suối Tía
12,Đồi Ngô Quyền,"Đồi Ngô Quyền, P. Langbiang",Free,Sáng,Đồi Ngô Quyền
13,Đồi Măng Lin,"Đồi Mả Thánh, Măng Lin",Free,Sáng,ĐỒI MĂNG LIN
14,Đường Nguyễn Khuyến,P. Cam Ly,Free,Cả ngày,Đường Nguyễn Khuyến
15,Đường Hàn Thuyên,P. Cam Ly,Free,Cả ngày,Đường Hàn Thuyên
16,Đường Cô Bắc - Cô Giang,P.Lâm Viên,Free,Cả ngày,Đường Cô Bắc - Cô Giang
17,Dinh Tỉnh Trưởng,01 Lý Tự Trọng,Free,Cả ngày,Dinh Tỉnh Trưởng
18,Con Dốc Nhật Bản,Dốc yersin,Free,Cả ngày,Dốc Nhật Bản
19,Chủng Viện Minh Hòa,59 Vạn Kiếp,Free,Cả ngày,Chủng Viện Minh Hòa
20,Trường Cao Đẳng Đà Lạt,"109 Yersin,",Free,Cả ngày,Trường Cao Đẳng Đà Lạt
21,Cung văn hóa Thiếu Nhi,13 Đinh Tiên Hoàng,Free,Cả ngày,Cung văn hóa Thiếu Nhi
22,Hong Kong - Bên hông chợ Đà Lạt,Khu Hòa Bình,Free,Cả ngày,Hong Kong - Bên hông chợ Đà Lạt
23,Dốc Hùng Vương,Đường Hùng Vương,Free,Cả ngày,Dốc Hùng Vương
24,Cung đường Tăng Thanh Hà,"Tổ 05 Thôn, Trường Thọ",Free,Sáng,Cung đường Tăng Thanh Hà
25,Biệt thự Hoa Hồng,17 Cô Giang,Free,Cả ngày,Biệt thự Hoa Hồng
26,Rừng Thông,P. Xuân Hương ,Free,Sáng,Rừng Thông
27,Chung Cư Yersin,P. Lâm Viên,Free,Cả ngày,Chung cư Yersin
28,Đồi Chè Cầu Đất,"Xuân Trường, Đà Lạt",Free,Cả ngày,Đồi chè Cầu Đất
29,Đập Ankoret,Lạc Dương,Free,Cả ngày,Đập Ankoret
30,Đồi Hoa Cỏ Hồng,P. Xuân Hương,Free,Cả ngày,Đồi cỏ hồng
31,Sân Vận Động Đà Lạt,Hẻm Xô Viết Nghệ Tĩnh,Free,Cả ngày,Sân Vận Động Đà Lạt
32,Dốc Tăng Bạt Hổ,Tăng Bạc Hổ,Free,Cả ngày,Dốc tăng bạt hổ
33,Đường Lê Đại Hành,P. Xuân Hương,Free,Cả ngày,Đường Lê Đại Hành
34,Dốc Nhớ Hoài,09 Trần Hưng Đạo,Free,Cả ngày,Dốc Nhớ Hoài
35,Xóm Lèo,Huỳnh Tấn Phát,Free,Chiều,Dốc Nhà Làng
36,Dốc nhà làng,12b  Nguyễn Biểu,Free,Cả ngày,Dốc nhà làng
37,Con hẻm Châu Âu,59/1 Nguyễn Văn Trỗi,Free,Cả ngày,Con hẻm Châu Âu
38,Đường Yên Thế,P. Xuân Hương,Free,Cả ngày,Đường Yên Thế
39,Nhà Thờ Con Gà,15 Trần Phú,Free,Cả ngày,Nhà Thờ Con Gà
40,Nhà Thờ Domain,01 Ngô Quyền,Free,Cả ngày,Nhà Thờ Domain
41,Quảng trường Lâm Viên,P. Xuân Hương,Free,Cả ngày,Quảng trường Lâm Viên
42,Hàng rào hoa hồng,Đường Cô Bắc,Free,Cả ngày,Hàng rào hoa hồng
43,Hoa Ban Trắng,Đường Hồ Tùng Mậu,Free,Cả ngày,Hoa Ban Trắng
44,Dốc Hàn Thuyên,Đường Hàn Thuyên,Free,Cả ngày,Dốc Hàn Thuyên
45,Dốc Persimmon,Đường Hùng Vương,Free,Cả ngày,Dốc Persimmon
46,Nhà Khách Công Đoàn,22 Quang Trung,Free,Cả ngày,Nhà Khách Công Đoàn
47,Khu Hòa Bình,P. Xuân Hương,Free,Cả ngày,Khu Hòa Bình
48,Đường ray Trần Quý Cáp,3 Trần Quý Cáp,Free,Cả ngày,Đường ray Trần Quý Cáp
49,Cạnh cà phê Đương ,"152 Phạm Ngọc Thạch,",Free,Cả ngày,Cạnh Cà phê Đương
50,Sân bay Cam Ly,P. Cam Ly,Free,Cả ngày,Sân bay Cam Ly
51,Đường An Bình,P. Xuân Hương,Free,Cả ngày,Đường An Bình
52,Đường Đống Đa,P. Xuân Hương,Free,Cả ngày,Đường Đống Đa
53,Nhà Thờ Tin Lành,72 Nguyễn Văn Trỗi,Free,Cả ngày,Nhà Thờ Tin Lành
54,Trường Đại Học Đà Lạt,01 Đường Phù Đổng Thiên Vương,Free,Cả ngày,Trường Đại Học Đà Lạt
55,Đầu đèo Prenn,P. Xuân Hương,Free,Cả ngày,Đầu đèo Prenn
56,Đồi Thiên Phúc Đức,P. Langbiang,Free,Sáng,Đồi Thiên Phúc Đức
57,Ga Xe Lửa Đà Lạt,01 Quang Trung,,Cả ngày,Ga Đà Lạt
58,Dinh Bảo Đại 1,Trần Quang Diệu,,Cả ngày,Dinh Bảo Đại 1
59,Dinh Bảo Đại 2,Trần Hưng Đạo,,Cả ngày,Dinh Bảo Đại 2
60,Dinh Bảo Đại 3,01 Đ. Triệu Việt Vương,,Cả ngày,Dinh Bảo Đại 3
61,Nhà Lao Thiếu Nhi Đà Lạt,9A Hồ Xuân Hương,,Cả ngày,Nhà Lao Thiếu Nhi Đà Lạt
62,Bảo Tàng Lâm Đồng,04 Đ. Hùng Vương,,Cả ngày,Bảo Tàng Lâm Đồng
63,Viện Nghiên Cứu Khoa Học Tây Nguyên,116 Đ. Xô Viết Nghệ Tĩnh,,Cả ngày,Viện Nghiên Cứu Khoa Học Tây Nguyên
64,Chùa Linh Phước,120 Tự Phước,,Cả ngày,Chùa Linh Phước
65,Cung Nam Phương Hoàng Hậu,04 Đ. Hùng Vương,,Cả ngày,Cung Nam Phương Hoàng Hậu
66,Biệt Thự Phi Ánh,1A - 1B Quang Trung,,Cả ngày,Biệt Thự Phi Ánh
67,Biệt Điện Trần Lệ Xuân,02 Đ. Yết Kiêu,,Cả ngày,Biệt Điện Trần Lệ Xuân
68,Viện Nghiên Cứu Hạnh Nhân,01 Đ.Nguyên Tử Lực,,Cả ngày,Viện Nghiên Cứu Hạnh Nhân
69,Thư Viện Tỉnh Lâm Đồng,14 Đ. Trần Phú,,Cả ngày,Thư Viện Tỉnh Lâm Đồng
70,Nhà Thờ Cam Ly,11 Đ. Nguyễn Khuyến,,Cả ngày,Nhà Thờ Cam Ly
71,Thiền Viện Trúc Lâm Đà Lạt,Trúc Lâm Yên Tử,,Cả ngày,Thiền Viện Trúc Lâm Đà Lạt
72,Hồ Than Thở,Đ. Hồ Xuân Hương,,Cả ngày,Hồ Than Thở
73,Thác Cam Ly, 8b Đường Hoàng Văn Thụ,,Cả ngày,Thác Cam Ly
74,Thánh Thất Đa Phước,"Điện thờ Phật Mẫu Đà Lạt, Tự Phước",,Cả ngày,Thánh Thất Đa Phước
75,Nhà Thờ Du Sinh,40/8 Huyền Trân Công Chúa,,Cả ngày,Nhà Thờ Du Sinh
76,Chùa Tàu,31c Khe Sanh,,Cả ngày,Chùa Tàu
77,Khách sạn Du Parc,15A Đ. Trần Phú,,Cả ngày,Khách sạn Du Parc
78,Sân Bay Cam Ly,Phường Cam Ly,,Cả ngày,Sân Bay Cam Ly
79,Lăng Nguyễn Hữu Hào, Đường Hoàng Văn Thụ,,Cả ngày,Lăng Nguyễn Hữu Hào
80,Thác Prenn,Phường Xuân Hương,,Cả ngày,Thác Prenn
81,Làng biệt thự cổ Ana Mandara,02 Lê Lai,,Cả ngày,Làng biệt thự cổ Ana Mandara
82,Biệt thự cổ Trần Hưng Đạo,Trần Hưng Đạo,,Cả ngày,Biệt thự cổ Trần Hưng Đạo
83,Tịnh xá Ngọc Đà,02 Tô Vĩnh Diện,,Cả ngày,Tịnh xá Ngọc Đà
84,Biệt thự cổ đường Cô Giang,Cô Bắc Cô Giang,,Cả ngày,Biệt thự cổ đường Cô Giang
85,Nhà máy điện gió Cầu Đất,"Cầu Đất Farm, Xuân Trường",,Sáng,Nhà máy điện gió Cầu Đất
86,Trạm xe lửa Trại Mát,Quang Trung,,Cả ngày,Trạm xe lửa Trại Mát
87,Nhà thờ Tùng Lâm,686 Xô Viết Nghệ Tĩnh,,Cả ngày,Nhà thờ Tùng Lâm
88,Chùa Linh Quang,421 Đường Hai Bà Trưng,,Cả ngày,Chùa Linh Quang
89,Chùa Linh Phong,Hoàng Hoa Thám,,Cả ngày,Chùa Linh Phong
90, Hầm hỏa xa,"QL20, Xuân Trường",,Cả ngày,Hầm hoả xa
91,Vườn hoa thành phố,02  Trần Nhân Tông,,Cả ngày,Vườn hoa thành phố
92,Từ viện Franciscaines,20 Hùng Vương,,Cả ngày,Từ viện Franciscaines
93,Nhà thờ Thánh Tâm,40 Trần Phú,,Cả ngày,Nhà thờ Thánh Tâm
94,Nhà nghỉ Công đoàn,22 Quang Trung,,Cả ngày,Nhà nghỉ Công đoàn
95,Nhà thờ Thánh Mẫu,117  Thánh Mẫu,,Cả ngày,Nhà thờ Thánh Mẫu
96,Chùa Quan Âm,Hẻm 11 Khe Sanh,,Cả ngày,Chùa Quan Âm
97,Hầm rượu vang,77C  Hùng Vương,,Cả ngày,Hầm rượu vang
