Unnamed: 0,Ten_quan,Mo_hinh,Dia_chi,Gio_mo_cua,Phong_cach,Gia,Huong_di,Doi_tac,Mon_an_noi_bat,Link_drive
1,Hủ Tiếu Mực Ông Diệm,Ăn Sáng,14B Bà Triệu,06:00–22:00,Hiện đại,~45k - 65k,Trung Tâm,,Hủ Tiếu,Hủ tiếu mực ông Diệm
2,Phở Nguyên Gia,Ăn Sáng,33 Ngô Quyền,06:00–13:30 & 1:30- 16:00,Hiện đại,~45k - 65k,Trung Tâm,,"Miến Trộn,phở trộn gà xé",PHỞ NGUYỄN GIA
3,Cháo Hào Hoàng Hà,Ăn Tối,84 Nguyễn Thị Nghĩa,14:00–20:30,Vintage,~35k - 95k,Trung Tâm,,Cháo hào và ốc,Cháo hàu hoàng hà
4,Bánh Bèo Bà Triệu,Ăn Trưa,Hẻm 4 Bà Triệu,07:00–11:30,Hiện đại,~30k,Trung Tâm,,Bánh bèo da heo giòn rụm,Bánh Bèo Bà Triệu\
5,Bún Bò Huế Loan,Ăn Sáng,4/4 Hoàng Văn Thụ,06:30–14:00,Vintage,~45k - 55k,Trung Tâm,,"Bún Bò, Bún Riêu, Mì Quảng",BÚN LOAN
6,Mì Quảng Bà Xí,Ăn Trưa,Lô A29 Mạc Đĩnh Chi,13:30–17:30,Vintage,~50k,Trung Tâm,,Mì Quảng sườn,Mì quảng Xí
7,Yummy Noodle,Ăn Tối,19/10 Đào Duy Từ,11:00–19:30,Vintage,~40k - 75k,Trung Tâm,,"Mì Udon xào, mì ramen xào",Yummy Noodle
8,Bánh ướt lòng gà Long Chuyên,Ăn Sáng,Hẻm 202 Phan Đình Phùng,7:00-19:00,Vintage,~30k - 65k,Trung Tâm,,Bánh ướt lòng gà,Bánh ướt lòng gà Long Chuyên
9,Bánh căn nhà chung,Ăn Sáng,1 Nhà Chung,07:00–21:00,Vintage,~50k - 55k,Trung Tâm,,"Bánh căn trứng, xíu mại",Bánh canh nhà chung
10,Bún Bò 35K,Ăn Sáng,218 Nguyễn Công Trứ,05:30–21:00,Vintage,~35k,Trung Tâm,,Bún Bò,Bún Bò 35K
11,Bánh bèo Bà Hường,Ăn Trưa,402 Phan Đình Phùng,9:00-21:00,Vintage,~45k,Trung Tâm,,Bánh Bèo-da heo giòn rụm,Bánh bèo Bà Hường
12,Bún Mắm Miền Tây,Ăn Trưa,37 Trần Nhật Duật,08:00–20:00,Hiện đại,~50k,Trung Tâm,,Bún mắm,Bún mắm miền tây
13,Bánh canh Hường chợ Lầu Đà Lạt,Ăn Trưa,Tầng 2 chợ Đà Lạt,13:30–18:00,Vintage,~30k - 35k,Trung Tâm,,Bánh canh bột lọc kèm chả cá,Bánh canh Hường
14,Bún riêu Cô Lan,Ăn Sáng,29 Nguyễn Văn Trỗi,14:30–19:30,Vintage,~35k - 40k,Trung Tâm,,Bún Riêu,Bún riêu cô Lan
15,Bún Bò Huế - Tuyết,Ăn Sáng,36 Ánh Sáng,Mở Cả Ngày,Vintage,~35k - 70k,Trung Tâm,,Bún Bò Bún Riêu Mì Quảng,Bún bò cô Tuyết
16,Bánh Mì Xíu Mại Yết Kiêu,Ăn Sáng,41 Yết Kiêu,5:30-11:00,Vintage,~35k,Trung Tâm,,"Bánh mì xíu mại,bánh căn",Bánh Mì Xíu Mại Yết Kiêu
17,Phở Hiếu,Ăn Sáng,103 Nguyễn Văn Trỗi,5:45- 20:45,Hiện đại,~50K - 90K,Trung Tâm,,Phở tái nậm gân bò viên,Phở Hiếu
18,Lẩu ghệ kim chi,Ăn Tối,20 Thi Sách,11:00-22:00,Hiện đại,~250k,Trung Tâm,,Lẩu ghẹ kim chi,Lẩu ghẹ kim chi
19,Tao Ngộ Quán - Lẩu Gà Lá É,Ăn Tối,10 Bis Ba Tháng Tư,8:00-22:00,Hiện đại,~200k,Trung Tâm,,"Lẩu gà lá é, lẩu thái, lẩu hải sản",Tao Ngộ Quán - Lẩu Gà Lá É
20,Nem Nướng Hoàng Hải,Ăn Trưa,29 Hoàng Diệu,10:30-19:30,Vintage,~35k - 40k,Trung Tâm,,Nem nướng -ram bắp,Nem Nướng Hoàng Hải
21,Bún Thái Hải Sản Hồng,Ăn Sáng,1 Cư Xá Bưu Điện,7:00-12:00,Hiện đại,~49k - 249k,Trung Tâm,,"Bún Thái, cơm, món nhậu",Bún Thái Hải Sản Hồng
22,Bánh cuốn nóng cô Hóa,Ăn Sáng,KQH 180 Phan Đình Phùng,6:30-14:00,Vintage,~38 - 45k,Trung Tâm,,Bánh cuốn nóng hổi,Bánh cuốn nóng cô Hóa
23,Chisai Ramen,Ăn Trưa,33/72 Nguyễn Công Trứ,11:00–21:00,Nhật Bản,~54k - 62k,Trung Tâm,,"Mì ramen gà,ramen bò hầm",Chisai Ramen
24,Ẩm thực Huế Chú Hồ,Ăn Trưa,60 Lý Tự Trọng,06:00–20:30,Hiện đại,~40k - 55k,Trung Tâm,,"Bún bò,bánh bèo,bánh bột lọc",Ẩm thực Huế Chú Hồ
25,Bánh Mì Chảo 27,Ăn Sáng,105 Nguyễn Lương Bằng,06:00–13:00,Vintage,~40k - 89k,Trung Tâm,,"bánh mì chảo, bánh mì xíu mại",Bánh Mì Chảo 27
26,Cơm tấm Thành Nhân,Ăn Trưa,54 Hoàng Diệu,9:30-15:00,Hiện đại,~40k,Trung Tâm,,Cơm tấm sườn bì chả trứng,Cơm tấm Thành Nhân
27,LẨU MỰC LÁ É NẪU ƠI,Ăn Tối,91 Hai Bà Trưng,09:00–22:30,Vintage,~200k - 550k,Trung Tâm,,Lẩu mực,LẨU MỰC LÁ É NẪU ƠI
28,Cơm Curry ikochi,Ăn Trưa,59 Nguyễn Trãi,08:30–19:00,Nhật Bản,~45k - 75k,Trung Tâm,,Cơm curry tôm chiên xù,Cơm Curry ikochi
29,Lẩu Bò Phan Rang,Ăn Tối,29 Quang Trung,10:00–22:00,Hiện đại,~200k,Trung Tâm,,"Lẩu bò,chảo bò phô mai",Lẩu Bò Phan Rang
30,Tiệm Mì Yên,Ăn Trưa,25 Ngô Thị Nhậm,10:30–20:00,Hiện đại,~75k,Trung Tâm,,Mì bò,Tiệm Mì Yên
31,Lẩu bò Ba Toa Bi Mập,Ăn Tối,29 Hoàng Diệu,09:00 - 22:30,Hiện đại,~200k,Trung Tâm,,Lẩu bò,Lẩu bò Ba Toa Bi Mập
32,Chạng Vạng BBQ & coffee,Ăn Tối,119 Huỳnh Tấn Phát,05:00 - 23:00,Hiện đại,~350k,Trung Tâm,,"Đồ nướng, lẩu",Chạng Vạng BBQ & coffee
33,Tiệm nướng Hoàng Hôn,Ăn Tối,Hẻm 118 Đồi Dã Chiến,16:00 - 22:00,Hiện đại,~129k - 289k,Trại Mát - Cầu Đất,X,"Đồ nướng, lẩu",Tiệm nướng Hoàng Hôn
34,Tiệm nướng Xóm Lèo,Ăn Tối,KQH Huỳnh Tấn Phát,15:00 - 22:00,Hiện đại,~69k - 455k,Trung Tâm,,"Đồ nướng, lẩu",Tiệm nướng Xóm Lèo
35,Tiệm nướng lẩu Rừng Mơ,Ăn Trưa,Đường Hoa Cẩm Tú Cầu,9:00 - 18:00,Hiện đại,~350k,Đèo Prenn,,"Đồ nướng, lẩu",Tiệm nướng lẩu rừng mơ
36,Tiệm ăn đôi đũa,Ăn Tối,96 Phù Đổng Thiên Vương,10:00–14:30 & 17:00–21:00,Vintage,~85k - 250k,Trung Tâm,,"Cơm, lẩu",Tiệm ăn đôi đũa
37,Cơm chiên-Tiềm Phú,Ăn Trưa,8 Mạc Đĩnh Chi,10:00–14:00 & 16:00–21:00,Vintage,~55k,Trung Tâm,,Tiềm và Cơm Chiên,Cơm chiên-Tiềm Phú
38,Cơm niêu 3 Mẹ con,Ăn Tối,1C Hoàng Hoa Thám,10:30 - 20:30,Vintage,~80k - 150k,Trung Tâm,,Cơm,Cơm niêu 3 Mẹ con
39,Bún bò Dần,Ăn Sáng,Hẻm 195 Phan Đình Phùng,06:00 - 11:00,Vintage,~40,Trung Tâm,,Bún bò,Bún bò Dần
40,Mì Quảng Hội An,Ăn Sáng,14 Yersin,06:30–12:00 & 15:30–20:00,Vintage,~45k,Trung Tâm,,Mì quảng,Mì Quảng Hội An
41,Cơm Niêu Thiên Lý,Ăn Tối,03 Sương Nguyệt Ánh,10:00 - 21:00,Vintage,~55k - 98k,Trung Tâm,,"Cơm, lẩu",Cơm Niêu Thiên Lý
42,Tiệm nướng Trạm Dừng Chill,Ăn Tối,111 Huỳnh Tấn Phát,15:00 - 23:00,Hiện đại,~65k - 250k,Trại Mát - Cầu Đất,,"Đồ nướng, lẩu",Tiệm nướng Trạm Dừng Chill
43,Tiệm ăn hoa ven rừng,Ăn Tối,868 Đường Cam Ly,10:00 - 18:00,Hiện đại,~60k - 750k,Trung Tâm,,"Đồ nướng, lẩu",Tiệm ăn hoa ven rừng
44,OM nướng,Ăn Tối,28 Trần Hưng Đạo,16:30 - 23:30,Hiện đại,~85k - 350k,Trung Tâm,,"Đồ nướng, lẩu, cơm",OM nướng
45,Lòng nướng Làng Vũ Đại,Ăn Tối,111C Hoàng Hoa Thám,14:00 - 22:00,Hiện đại,~50k - 149k,Trung Tâm,,"Lòng nướng, lẩu",Lòng nướng Làng Vũ Đại
46,Trạm sạc Bia,Ăn Tối,"Lô B1-1, KQH Golf Valley",15:00 - 02:00,Hiện đại,~69k - 350k,Trung Tâm,,"Đồ nướng, lẩu",Trạm sạc Bia
